question,facts,results,precision,recall
['What is the protected area whose nearest city is Kenya?'],"['http://dbpedia.org/ontology/nearestCity,http://dbpedia.org/ontology/ProtectedArea,']",[' [        "http://dbpedia.org/property/city"    ]'],['0.0'],['0.0']
['Is Anne Hidalgo the mayor of Paris?'],"['http://dbpedia.org/ontology/mayor,']",[' [        "http://dbpedia.org/ontology/mayor"    ]'],['1.0'],['1.0']
['Name the driver who was at pole in 1997 Canadian Grand Prix and also 1994 Spanish Grand Prix ?'],"['http://dbpedia.org/property/poleDriver,http://dbpedia.org/ontology/poleDriver,']",[' [        "http://dbpedia.org/property/date"    ]'],['0.0'],['0.0']
['Which college has been attended  by both Mr. Hubert Wiggs and Mr. Alvin Bell?'],"['http://dbpedia.org/ontology/college,http://dbpedia.org/ontology/college,']","[' [        ""http://dbpedia.org/ontology/college"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0']
['Is Maldives a member ofof South Asia Subregional Economic Cooperation?'],"['http://dbpedia.org/property/membership,']",[],,
['What are the settlements whose neighboring municipalities is Lancy?'],"['http://dbpedia.org/property/neighboringMunicipalities,http://dbpedia.org/ontology/Settlement,']",[],,
['What currencies are used in the country whose capital is Podgorica?'],"['http://dbpedia.org/ontology/capital,http://dbpedia.org/property/currency,']",[' [        "http://dbpedia.org/ontology/capital"    ]'],['1.0'],['1.0']
['What is the political party of the Satish Kumar Sharma which is also the political party of Manthena Venkata Raju?'],"['http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/party,']","[' [        ""http://dbpedia.org/ontology/party"",         ""http://xmlns.com/foaf/0.1/gender""    ]']",['1.0'],['1.0']
,,[],,
,,[],,
['Name a famous relative of barry voight'],"['http://dbpedia.org/ontology/relative,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['1.0'],['1.0']
['Which company developed both Dart and Go?'],"['http://dbpedia.org/ontology/developer,http://dbpedia.org/ontology/developer,']","[' [        ""http://dbpedia.org/ontology/developer"",         ""http://dbpedia.org/ontology/influenced""    ]']",['1.0'],['1.0']
['Georg Meissner was doctoral supervisor of which scientist ?'],"['http://dbpedia.org/property/doctoralAdvisor,http://dbpedia.org/ontology/Scientist,']",[],,
['Which city near Nihoa is the place of death of jim Brady ?'],"['http://dbpedia.org/property/nearestCity,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/property/city"    ]'],['0.0'],['0.0']
['List the people who were the first one to climb a mountain in California?'],"['http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/Mountain,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Who are the local authority of Buckhurst Hill County High School ?'],"['http://dbpedia.org/ontology/localAuthority,']",[' [        "http://dbpedia.org/ontology/localAuthority"    ]'],['1.0'],['1.0']
['Which peak was first scaled by Krzysztof Wielicki?'],"['http://dbpedia.org/ontology/firstAscentPerson,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
["What teams have Avangard Omsk's players played for?"],"['http://dbpedia.org/property/playedFor,http://dbpedia.org/ontology/formerTeam,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
['What is the location country of Teperberg 1870 ?'],"['http://dbpedia.org/property/locationCountry,']",[],,
['Name the rivers in the hudson highlands state parts?'],"['http://dbpedia.org/property/river,']",[],,
['Is Ingo Steuer the formercoach of Stanislav Morozov?'],"['http://dbpedia.org/property/formercoach,']",[' [        "http://dbpedia.org/ontology/formerCoach"    ]'],['0.0'],['0.0']
['How many cars can I find related to the cars which have a V8 engine?'],"['http://dbpedia.org/property/engine,http://dbpedia.org/property/related,']","[' [        ""http://dbpedia.org/property/related"",         ""http://dbpedia.org/property/engine""    ]']",['1.0'],['1.0']
['Which destinations of the Air 2000 is also the location continent of the Falken Tire ?'],"['http://dbpedia.org/property/destinations,http://dbpedia.org/ontology/locationCountry,']",[' [        "http://dbpedia.org/ontology/destination"    ]'],['0.0'],['0.0']
['What show has Sirius XM Holdings and Fox Sports Radio as channels ?'],"['http://dbpedia.org/ontology/channel,http://dbpedia.org/ontology/channel,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/channel"",         ""http://dbpedia.org/property/network""    ]']",['1.0'],['1.0']
"['What are Breann McGregor and Anika Knudsen, both known for?']","['http://dbpedia.org/property/knownFor,http://dbpedia.org/property/knownFor,']",[],,
['List the movies produced by Michael Deeley ?'],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
"['In which state is the team, which has John Roeslein?']","['http://dbpedia.org/ontology/team,http://dbpedia.org/property/state,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
['Which sport at Polytechnic University of the Philippines Taguig is the field of Jon speelman ?'],"['http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/sport,']","[' [        ""http://dbpedia.org/ontology/field"",         ""http://dbpedia.org/ontology/sport""    ]']",['1.0'],['1.0']
['Which senator served in military units VMF-155 and VMF-218?'],"['http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/ontology/Senator,']","[' [        ""http://dbpedia.org/ontology/militaryUnit"",         ""http://dbpedia.org/property/wordnet_type""    ]']",['1.0'],['1.0']
['How many members are there of the organization headquartered at Amstelveen?'],"['http://dbpedia.org/property/headquarters,http://dbpedia.org/property/membership,']",[],,
['Does the Ontario International Airport serve the Inland Empire?'],"['http://dbpedia.org/property/cityServed,']",[],,
["Who is the film director of Alice's Wonderland ?"],"['http://dbpedia.org/ontology/director,']",[' [        "http://dbpedia.org/ontology/director"    ]'],['1.0'],['1.0']
['Who is the builder of Estadio Nacional de Costa Rica (2011) ?'],"['http://dbpedia.org/ontology/builder,']",[],,
['What is the common award won by Charles LeMaire and Eric Roth'],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
['Count the number of first drivers in all the GPs where Mika Hakkinen was a first driver?'],"['http://dbpedia.org/ontology/poleDriver,http://dbpedia.org/ontology/firstDriver,http://dbpedia.org/ontology/RacingDriver,']",[],,
['Which river has its roots in Baikal Mountains?'],"['http://dbpedia.org/ontology/sourceMountain,']",[' [        "http://dbpedia.org/ontology/sourceMountain"    ]'],['1.0'],['1.0']
['Which musical artist collaborated with Tony Allen (musician) and label is Victor Entertainment?'],"['http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/property/label,http://dbpedia.org/ontology/MusicalArtist,']","[' [        ""http://dbpedia.org/ontology/artist"",         ""http://dbpedia.org/property/label""    ]']",['0.5'],['0.5']
['What is the total number of regions served by the companies which also serves Australia?'],"['http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/regionServed,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.0'],['0.0']
['Whose children are married to Fredric Joliot-Curie?'],"['http://dbpedia.org/property/spouse,http://dbpedia.org/property/children,']",[],,
['Count the number of important works done by the writers of The Second Coming?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/notableWork,']","[' [        ""http://dbpedia.org/ontology/notableWork"",         ""http://dbpedia.org/ontology/author""    ]']",['1.0'],['1.0']
['Who is the composer of Girl from the North Country ?'],"['http://dbpedia.org/ontology/composer,']",[' [        "http://dbpedia.org/ontology/composer"    ]'],['1.0'],['1.0']
['who owns the ship Victoria?'],"['http://dbpedia.org/ontology/owner,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
['What is the base currency of the Benelux and is also used as money in Kerguelen Islands?'],"['http://dbpedia.org/property/currency,http://dbpedia.org/ontology/currency,']",[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
['List the places where the relatives of Mark Donaldson died ?'],"['http://dbpedia.org/property/relatives,http://dbpedia.org/ontology/deathPlace,']",[],,
['Which appointer of the Joseph Clay (Georgia) is also the  President of the William Carmichael (diplomat) ?'],"['http://dbpedia.org/ontology/appointer,http://dbpedia.org/property/president,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.5'],['1.0']
['For which teams did Ryan Powell play for?'],"['http://dbpedia.org/ontology/team,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
["Name the military units whose command structure's headquarters is The Pentagon?"],"['http://dbpedia.org/property/headquarters,http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/MilitaryUnit,']",[' [        "http://dbpedia.org/property/headquarters"    ]'],['1.0'],['1.0']
['What is the mascot of Celal Bayar University ?'],"['http://dbpedia.org/property/mascot,']",[],,
['How many other ingredient are there in the foods whihh have one of the ingredient as Potato ?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/ingredient,']",[' [        "http://dbpedia.org/ontology/ingredient"    ]'],['1.0'],['1.0']
['Who are the founders of Iskra ?'],"['http://dbpedia.org/ontology/foundedBy,']",[' [        "http://dbpedia.org/ontology/openingTheme"    ]'],['0.0'],['0.0']
['What is the location country of the bank whose successor is Mauritius Bank ?'],"['http://dbpedia.org/ontology/successor,http://dbpedia.org/property/locationCountry,http://dbpedia.org/ontology/Bank,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['1.0'],['1.0']
['Who is the manufacturer of engine of Jeep Forward Control ?'],"['http://dbpedia.org/property/engine,http://dbpedia.org/ontology/manufacturer,']",[' [        "http://dbpedia.org/ontology/manufacturer"    ]'],['1.0'],['1.0']
['What sports are played at Vishwajyot High School?'],"['http://dbpedia.org/ontology/sport,']",[' [        "http://dbpedia.org/ontology/sport"    ]'],['1.0'],['1.0']
['Who is the person whose parent is Ptolemy XII Auletes?'],"['http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/parent"    ]'],['1.0'],['1.0']
['Who are in the board of Jimmy Wales ?'],"['http://dbpedia.org/ontology/board,']",[' [        "http://dbpedia.org/ontology/board"    ]'],['1.0'],['1.0']
['What is the leading party in Baraily which Chandra Shekhar too is associated with?'],"['http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/otherParty,']","[' [        ""http://dbpedia.org/ontology/party"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.0'],['0.0']
['What are the tenants of Mercedes-Benz Superdome?'],"['http://dbpedia.org/ontology/tenant,']",[' [        "http://dbpedia.org/ontology/tenant"    ]'],['1.0'],['1.0']
['Was elizabeth ann seton beatified by Pope John XXIII?'],"['http://dbpedia.org/property/beatifiedBy,']",[' [        "http://dbpedia.org/ontology/child"    ]'],['0.0'],['0.0']
['Give me a count of all the producers of all the movies whose music was done by James Horner?'],"['http://dbpedia.org/property/music,http://dbpedia.org/property/producer,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.5'],['1.0']
['Name the musical artists whose label is given by Kobalt Label Services?'],"['http://dbpedia.org/property/label,http://dbpedia.org/ontology/MusicalArtist,']",[],,
['Count everyone who was in the military unit which is structured like the Marine Aircraft Group 13 ?'],"['http://dbpedia.org/property/commandStructure,http://dbpedia.org/ontology/militaryUnit,']",[' [        "http://dbpedia.org/ontology/militaryUnit"    ]'],['1.0'],['1.0']
['Which state does Jerome B. Chaffee belong ?'],"['http://dbpedia.org/property/state,']",[' [        "http://dbpedia.org/property/state"    ]'],['1.0'],['1.0']
['Who is the writer of Neverwhere (radio play) ?'],"['http://dbpedia.org/ontology/writer,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['1.0'],['1.0']
"['What is the musical whose music is by Jose Luis Narom,  based upon?']","['http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/basedOn,http://dbpedia.org/ontology/Musical,']",[],,
['List the bacterias whose division is Firmicutes and domain is bacteria?'],"['http://dbpedia.org/ontology/division,http://dbpedia.org/property/domain,http://dbpedia.org/ontology/Bacteria,']","[' [        ""http://dbpedia.org/ontology/division"",         ""http://dbpedia.org/ontology/domain""    ]']",['0.666666666667'],['1.0']
["How many TV shows' networks are headquarterd in NY?"],"['http://dbpedia.org/property/headquarters,http://dbpedia.org/property/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/headquarter"    ]'],['0.0'],['0.0']
,,[],,
,,[],,
['What is the university whose affiliations is Graham Holdings Company?'],"['http://dbpedia.org/property/affiliations,http://dbpedia.org/ontology/University,']",[],,
['Name the basketball player who played for Phoenix Suns and Los Angeles Clippers was his draft team?'],"['http://dbpedia.org/ontology/team,http://dbpedia.org/property/draftTeam,http://dbpedia.org/ontology/BasketballPlayer,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
['Who are the key people of FWD.us?'],"['http://dbpedia.org/property/keyPeople,']",[],,
['What is the birth place of the successor of Ella T. Grasso ?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/property/birthPlace,']",[],,
['Which country is the birth place of Marcus Samuelsson and Samuel of Waldebba ?'],"['http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth,']",[],,
